Id_studenta,Imie,Nazwisko,Uczelnia,Miejsce_zam,Rok_studiow,Dochod_na_osobe,,,miasta,
24,Augustyna,Swierkowska,Uniwersytet Sportu i Turystyki,Rajcza,IV,1489,,,Rajcza,Chyzne
25,Tomasz,Tutaj,Politechnika Informatyczno-Elektroniczna,Chyzne,II,3079,,,Chyzne,Sanok
26,Sylwester,Jarecki,Uniwersytet Muzyczny,Sanok,IV,3222,,,Sanok,Limanowa
27,Antoni,Banakiewicz,Politechnika Krolewska,Wisla,I,1003,,,Wisla,Wojkowice
28,Piotr,Skiba,Politechnika Krolewska,Limanowa,III,2917,,,Limanowa,Brzesko
29,Lidia,Kazdron,Politechnika Krolewska,Wojkowice,III,2646,,,Wojkowice,Sosnicowice
30,Karol,Krol,Uniwersytet Pedagogiczny,Brzesko,I,365,,,Brzesko,Katowice
31,Beata,Kotlarska,Politechnika Krolewska,Sosnicowice,I,1638,,,Sosnicowice,Gieraltowice
32,Jan,Tyranowski,Uniwersytet Krolewski,Katowice,III,3333,,,Katowice,Czestochowa
33,Celina,Koral,Politechnika Krolewska,Gieraltowice,V,1242,,,Gieraltowice,Lomza
34,Jacek,Witebski,Uniwersytet Krolewski,Czestochowa,I,1168,,,Czestochowa,Tomaszow Lubelski
35,Karol,Kedzierski,Politechnika Krolewska,Lomza,III,1374,,,Lomza,Rabka
36,Bartosz,Samek,Politechnika Informatyczno-Elektroniczna,Koniakow,I,543,,,Koniakow,Kolbaskowo
37,Natalia,Goral,Politechnika Krolewska,Myslowice,I,1947,,,Myslowice,Nysa
38,Janusz,Figielski,Uniwersytet Krolewski,Tomaszow Lubelski,I,2223,,,Tomaszow Lubelski,Dlugopole-Zdroj
39,Henryk,Klosinski,Uniwersytet Muzyczny,Rabka,I,1611,,,Rabka,Ledziny
40,Krzysztof,Dyszy,Uniwersytet Ekonomiczny,Rybnik,I,2898,,,Rybnik,Ilawa
41,Barbara,Szelest,Uniwersytet Krolewski,Myslowice,I,1666,,,Myslowice,Terespol
42,Monika,Chojecka,Uniwersytet Krolewski,Kolbaskowo,I,2124,,,Kolbaskowo,Wegorzewo
43,Elzbieta,Jandura,Uniwersytet Krolewski,Nysa,V,1552,,,Nysa,Rogoznik
44,Roman,Aron,Uniwersytet Krolewski,Dlugopole-Zdroj,I,997,,,Dlugopole-Zdroj,Bezledy
45,Joanna,Lodziarz,Uniwersytet Krolewski,Ledziny,I,602,,,Ledziny,Zawiercie
46,Martyna,Bobrowska,Politechnika Krolewska,Ilawa,III,1263,,,Ilawa,Slawkow
47,Dominik,Zagajewski,Politechnika Informatyczno-Elektroniczna,Sosnowiec,V,448,,,Sosnowiec,Wroclaw
48,Marianna,Lyszkowska,Politechnika Krolewska,Terespol,I,2334,,,Terespol,Ustron
49,Anna,Tabor,Politechnika Informatyczno-Elektroniczna,Czestochowa,I,1777,,,Czestochowa,Swietochlowice
50,Marek,Frymarkiewicz,Politechnika Informatyczno-Elektroniczna,Wegorzewo,I,1712,,,Wegorzewo,Jaslo
51,Gerard,Graczynski,Uniwersytet Pedagogiczny,Rogoznik,I,1573,,,Rogoznik,Tworog
52,Stefan,Skoczkowski,Uniwersytet Krolewski,Sosnowiec,II,2279,,,Sosnowiec,Zywiec
53,Gabriela,Kawka,Uniwersytet Sportu i Turystyki,Bezledy,II,2273,,,Bezledy,Ogrodzieniec
54,Klementyna,Bobkowicz,Uniwersytet Krolewski,Zawiercie,III,3056,,,Zawiercie,Sucha Beskidzka
55,Artur,Bartoszewicz,Uniwersytet Sportu i Turystyki,Slawkow,I,2177,,,Slawkow,Lubaczow
56,Michal,Grzesiak,Politechnika Informatyczno-Elektroniczna,Wroclaw,V,2239,,,Wroclaw,Cieszyn
57,Ewelina,Korpet,Uniwersytet Krolewski,Ustron,V,2204,,,Ustron,Strzelce Opolskie
58,Radomila,Bojka,Uniwersytet Sportu i Turystyki,Ledziny,III,1403,,,Ledziny,Leszno
59,Maciej,Drozdzik,Politechnika Informatyczno-Elektroniczna,Szczyrk,V,1142,,,Szczyrk,Debica
60,Jerzy,Przybylski,Uniwersytet Sportu i Turystyki,Swietochlowice,I,979,,,Swietochlowice,Tarnobrzeg
61,Hanna,Baron,Politechnika Krolewska,Jaslo,I,2509,,,Jaslo,Bielsko - Biala
62,Teresa,Bajerska,Uniwersytet Sportu i Turystyki,Tworog,II,3010,,,Tworog,Naleczow
63,Danuta,Bednar,Politechnika Krolewska,Zywiec,I,1933,,,Zywiec,Poraj
64,Boguslawa,Keta,Politechnika Krolewska,Bedzin,II,3013,,,Bedzin,Otmuchow
65,Beata,Grabowska,Politechnika Informatyczno-Elektroniczna,Ogrodzieniec,V,2838,,,Ogrodzieniec,Dabrowa Gornicza
66,Stefania,Zakrzewska,Politechnika Informatyczno-Elektroniczna,Sucha Beskidzka,II,420,,,Sucha Beskidzka,Kielce
67,Anna,Barcikowska,Politechnika Informatyczno-Elektroniczna,Lubaczow,I,3099,,,Lubaczow,Koszalin
68,Tadeusz,Holski,Politechnika Krolewska,Sosnicowice,II,1945,,,Sosnicowice,Halinow
69,Aleksandra,Drabicka,Uniwersytet Krolewski,Cieszyn,I,2163,,,Cieszyn,Monki
70,Igor,Krynicki,Politechnika Informatyczno-Elektroniczna,Rajcza,I,1248,,,Rajcza,Nowy Sacz
71,Boleslaw,Ludziejewski,Politechnika Informatyczno-Elektroniczna,Nowy Targ,I,2979,,,Nowy Targ,Grudziadz
72,Danuta,Wojciechowska,Uniwersytet Krolewski,Bedzin,V,1298,,,Bedzin,Jaworzynka
73,Katarzyna,Kausek,Uniwersytet Pedagogiczny,Strzelce Opolskie,I,847,,,Strzelce Opolskie,Przemysl
74,Maria,Swoboda,Politechnika Krolewska,Leszno,I,1032,,,Leszno,Kedzierzyn-Kozle
75,Witold,Basik,Politechnika Informatyczno-Elektroniczna,Debica,II,2428,,,Debica,Gorzow Wielkopolski
76,Brygida,Mika,Politechnika Krolewska,Tarnobrzeg,IV,562,,,Tarnobrzeg,Kruszwica
77,Mariola,Barszczon,Uniwersytet Pedagogiczny,Oswiecim,I,2664,,,Oswiecim,Piwniczna-Zdroj
78,Karina,Wozniak,Politechnika Informatyczno-Elektroniczna,Bielsko - Biala,V,2485,,,Bielsko - Biala,Kety
79,Michal,Kostrzewa,Politechnika Informatyczno-Elektroniczna,Katowice,III,2267,,,Katowice,Radom
80,Artur,Duszczyk,Politechnika Informatyczno-Elektroniczna,Zawiercie,I,715,,,Zawiercie,Jedrzejow
81,Nikodem,Nowicki,Uniwersytet Sportu i Turystyki,Jejkowice,V,1703,,,Jejkowice,Siewierz
82,Jadwiga,Borek,Uniwersytet Krolewski,Naleczow,V,1634,,,Naleczow,Tarnow
83,Jaroslaw,Firek,Uniwersytet Rolniczy,Jaslo,IV,2697,,,Jaslo,Gorki Male
84,Grzegorz,Podsiadly,Uniwersytet Sportu i Turystyki,Swietochlowice,I,1454,,,Swietochlowice,Deblin
85,Wawrzyniec,Kalinowski,Uniwersytet Krolewski,Ogrodzieniec,V,875,,,Ogrodzieniec,Zabrze
86,Boleslaw,Drozdz,Uniwersytet Krolewski,Poraj,I,1233,,,Poraj,Klomnice
87,Korneliusz,Gajos,Politechnika Krolewska,Otmuchow,II,1517,,,Otmuchow,Chorzow
88,Agnieszka,Muszynska,Uniwersytet Krolewski,Dabrowa Gornicza,I,795,,,Dabrowa Gornicza,Wadowice
89,Alicja,Bankowska,Uniwersytet Krolewski,Swietochlowice,I,2913,,,Swietochlowice,Bytom
90,Barbara,Boronowska,Akademia Sztuk Pieknych,Kielce,I,874,,,Kielce,Lublin
91,Ireneusz,Pazdziernik,Politechnika Krolewska,Koszalin,II,2759,,,Koszalin,Olkusz
92,Maciej,Golec,Politechnika Informatyczno-Elektroniczna,Halinow,II,1906,,,Halinow,Gdynia
93,Maciej,Slomczynski,Uniwersytet Krolewski,Nowy Targ,I,710,,,Nowy Targ,Zakopane
94,Tymon,Czarna,Politechnika Krolewska,Monki,IV,1051,,,Monki,Dzierzoniow
95,Janina,Lina,Politechnika Informatyczno-Elektroniczna,Raciborz,I,2968,,,Raciborz,Bransk
96,Kaja,Kalwas,Uniwersytet Krolewski,Nowy Sacz,II,1600,,,Nowy Sacz,Pszczyna
97,Anna,Pulka,Uniwersytet Krolewski,Jaworzno,I,1600,,,Jaworzno,Leczyca
98,Waclawa,Kasperek,Politechnika Informatyczno-Elektroniczna,Grudziadz,II,2710,,,Grudziadz,Swiecko
99,Cezary,Karpowicz,Politechnika Informatyczno-Elektroniczna,Ogrodzieniec,I,2993,,,Ogrodzieniec,Debowiec
100,Malgorzata,Balcerzak,Politechnika Informatyczno-Elektroniczna,Jaworzynka,I,748,,,Jaworzynka,Szczekociny
101,Kacper,Wosik,Politechnika Informatyczno-Elektroniczna,Krapkowice,I,2343,,,Krapkowice,Ciechocinek
102,Stefan,Biegajski,Politechnika Informatyczno-Elektroniczna,Bielsko - Biala,II,1837,,,Bielsko - Biala,Zabrodzie
103,Tomasz,Jasak,Uniwersytet Krolewski,Przemysl,III,923,,,Przemysl,Debrzno
104,Witold,Barylkiewicz,Uniwersytet Ekonomiczny,Raciborz,II,632,,,Raciborz,Gliwice
105,Michal,Bilski,Politechnika Informatyczno-Elektroniczna,Kedzierzyn-Kozle,II,2807,,,Kedzierzyn-Kozle,Legnica
106,Kazimierz,Sycowski,Uniwersytet Rolniczy,Nowy Targ,I,2331,,,Nowy Targ,Lwowek Slaski
107,Marcin,Bacz,Uniwersytet Pedagogiczny,Gorzow Wielkopolski,I,2973,,,Gorzow Wielkopolski,Brzeg Dolny
108,Jolanta,Czubacka,Politechnika Informatyczno-Elektroniczna,Oswiecim,I,2385,,,Oswiecim,Wolbrom
109,Andrzej,Jurkowski,Politechnika Informatyczno-Elektroniczna,Szczyrk,IV,1487,,,Szczyrk,Kleszczow
110,Ireneusz,Alotek,Politechnika Informatyczno-Elektroniczna,Myslowice,I,3140,,,Myslowice,Bialystok
111,Janusz,Judycki,Uniwersytet Ekonomiczny,Kruszwica,I,1361,,,Kruszwica,Miedzyrzecze
112,Grazyna,Pawlowska,Politechnika Krolewska,Halinow,V,2799,,,Halinow,Warszawa
113,Adam,Sliz,Politechnika Krolewska,Piwniczna-Zdroj,I,1077,,,Piwniczna-Zdroj,Myszkow
114,Damian,Bawicz,Politechnika Krolewska,Kety,I,1161,,,Kety,Bydgoszcz
115,Bronislawa,Wegrzyn,Politechnika Krolewska,Radom,IV,2404,,,Radom,Pyrzowice
116,Jaromir,Gonczyk,Politechnika Informatyczno-Elektroniczna,Radom,III,2523,,,Radom,Hrebenne
117,Amadeusz,Toborek,Politechnika Krolewska,Jedrzejow,II,2469,,,Jedrzejow,Koscian
118,Jakub,Socha,Uniwersytet Rolniczy,Kielce,I,2025,,,Kielce,Chelm
119,Katarzyna,Dwornik,Politechnika Informatyczno-Elektroniczna,Siewierz,I,2745,,,Siewierz,Kuznica Bialostocka
120,Celina,Wisniewska,Politechnika Informatyczno-Elektroniczna,Tarnow,I,822,,,Tarnow,Zory
121,Konstancja,Raszyn,Politechnika Informatyczno-Elektroniczna,Gorki Male,II,2946,,,Gorki Male,Sopot
122,Edyta,Tomczyk,Uniwersytet Krolewski,Deblin,II,2384,,,Deblin,Kepice
123,Jerzy,Semeniuk,Politechnika Krolewska,Zabrze,I,1482,,,Zabrze,Poznan
124,Helena,Maczynska,Uniwersytet Krolewski,Monki,I,2171,,,Monki,Zgorzelec
125,Jaroslaw,Bajda,Politechnika Informatyczno-Elektroniczna,Klomnice,I,1182,,,Klomnice,Gdansk
126,Klemens,Rokosz,Politechnika Krolewska,Chyzne,I,667,,,Chyzne,Kostrzyn
127,Jakub,Wtorek,Politechnika Krolewska,Chorzow,V,3263,,,Chorzow,Kuznia Raciborska
128,Adrianna,Brzezinska,Politechnika Krolewska,Sosnowiec,III,2913,,,Sosnowiec,Mikolajki
129,Karol,Binski,Politechnika Krolewska,Wadowice,I,2497,,,Wadowice,Gryfice
130,Iwona,Nyska,Uniwersytet Krolewski,Katowice,I,2169,,,Katowice,Siemianowice Slaskie
131,Cecylia,Czylok,Uniwersytet Krolewski,Kedzierzyn-Kozle,I,828,,,Kedzierzyn-Kozle,Ogrodniki
132,Mateusz,Antoniak,Politechnika Krolewska,Bytom,I,2699,,,Bytom,Chalupki
133,Adam,Kaleta,Uniwersytet Krolewski,Myslowice,I,1446,,,Myslowice,Glubczyce
134,Michal,Salacinski,Politechnika Informatyczno-Elektroniczna,Lublin,II,1608,,,Lublin,Alwernia
135,Krzysztof,Krzesinski,Uniwersytet Rolniczy,Kety,I,2586,,,Kety,Plock
136,Zofia,Gorajska,Politechnika Krolewska,Olkusz,II,2428,,,Olkusz,Bochnia
137,Janusz,Aleksandrowicz,Politechnika Informatyczno-Elektroniczna,Gdynia,I,2701,,,Gdynia,Tychy
138,Danuta,Zasada,Politechnika Informatyczno-Elektroniczna,Nowy Sacz,I,525,,,Nowy Sacz,Jakuszyce
139,Aleksander,Rutkowski,Politechnika Informatyczno-Elektroniczna,Zakopane,IV,560,,,Zakopane,Zyrardow
140,Karina,Mikolajczak,Politechnika Informatyczno-Elektroniczna,Kruszwica,I,642,,,Kruszwica,Mlynarze
141,Aleksy,Pobereznik,Politechnika Informatyczno-Elektroniczna,Jaworzno,III,3152,,,Jaworzno,Zamosc
142,Beata,Domnicz,Politechnika Krolewska,Dzierzoniow,V,3177,,,Dzierzoniow,Lazy
143,Juliusz,Blazowski,Politechnika Informatyczno-Elektroniczna,Bransk,IV,3144,,,Bransk,Jastrzebie-Zdroj
144,Kacper,Stachowicz,Uniwersytet Krolewski,Sucha Beskidzka,II,775,,,Sucha Beskidzka,Szczecinek
145,Paulina,Lewinska,Uniwersytet Krolewski,Przemysl,I,714,,,Przemysl,Miechow
146,Krzysztof,Wroblewski,Politechnika Informatyczno-Elektroniczna,Piotrkow Trybunalski,I,919,,,Piotrkow Trybunalski,Szamotuly
147,Jan,Bieniek,Uniwersytet Krolewski,Rogoznik,I,805,,,Rogoznik,Izbica Kujawska
148,Magdalena,Wawrzyn,Politechnika Informatyczno-Elektroniczna,Ledziny,I,1189,,,Ledziny,Pilica
149,Marek,Bakucha,Akademia Sztuk Pieknych,Szczyrk,I,3313,,,Szczyrk,Tarnowskie Gory
150,Teofil,Chudy,Politechnika Informatyczno-Elektroniczna,Mikolow,II,2530,,,Mikolow,Ciechanow
151,Krzysztof,Rosiewicz,Politechnika Krolewska,Ogrodzieniec,I,680,,,Ogrodzieniec,Baborow
152,Mikolaj,Jozwiak,Politechnika Krolewska,Gieraltowice,I,1880,,,Gieraltowice,Zambrow
153,Olga,Berus,Politechnika Informatyczno-Elektroniczna,Jaworzynka,I,2791,,,Jaworzynka,Oborniki
154,Halina,Haczyk,Uniwersytet Krolewski,Pszczyna,V,3243,,,Pszczyna,Siedlce
155,Sebastian,Lewandowski,Uniwersytet Ekonomiczny,Sosnowiec,II,1434,,,Sosnowiec,Elblag
156,Barbara,Kotwicka,Uniwersytet Krolewski,Leczyca,V,2308,,,Leczyca,Istebna
157,Jerzy,Bolkowicz,Politechnika Krolewska,Rybnik,I,2451,,,Rybnik,Bozewo
158,Michal,Wojciechowski,Politechnika Informatyczno-Elektroniczna,Swiecko,V,2423,,,Swiecko,Pyrzyce
159,Inga,Barskacz,Politechnika Informatyczno-Elektroniczna,Slawkow,I,2848,,,Slawkow,Przasnysz
160,Jerzy,Lubec,Politechnika Informatyczno-Elektroniczna,Slawkow,I,1599,,,Slawkow,Ostroleka
161,Malgorzata,Szulim,Politechnika Informatyczno-Elektroniczna,Debowiec,I,1899,,,Debowiec,Konin
162,Marcin,Hebda,Politechnika Informatyczno-Elektroniczna,Rabka,I,2725,,,Rabka,Prudnik
163,Andrzej,Wieczorek,Politechnika Krolewska,Sanok,III,2555,,,Sanok,Olsztyn
164,Jan,Babul,Uniwersytet Krolewski,Zywiec,I,2720,,,Zywiec,Walbrzych
165,Kinga,Myszograj,Politechnika Krolewska,Pszczyna,IV,2155,,,Pszczyna,Gostyn
166,Grazyna,Chrust,Politechnika Informatyczno-Elektroniczna,Czestochowa,I,792,,,Czestochowa,Legionowo
167,Dorota,Pietrowicz,Politechnika Informatyczno-Elektroniczna,Wadowice,I,1071,,,Wadowice,Wodzislaw Slaski
168,Hanna,Wrona,Politechnika Informatyczno-Elektroniczna,Szczekociny,V,1493,,,Szczekociny,Mirow
169,Janusz,Wysocki,Uniwersytet Rolniczy,Chorzow,I,1191,,,Chorzow,Piechowice
170,Adam,Baryla,Politechnika Krolewska,Ciechocinek,I,1347,,,Ciechocinek,Elk
171,Szymon,Duda,Uniwersytet Krolewski,Zabrodzie,I,1160,,,Zabrodzie,Suwalki
172,Anna,Bialowas,Uniwersytet Pedagogiczny,Szczekociny,I,1544,,,Szczekociny,Swinoujscie
173,Grzegorz,Szlachcic,Politechnika Krolewska,Olkusz,II,2675,,,Olkusz,Biala Podlaska
174,Kuba,Hauser,Politechnika Informatyczno-Elektroniczna,Myslowice,IV,2481,,,Myslowice,Swieradow-Zdroj
175,Dariusz,Adamus,Politechnika Informatyczno-Elektroniczna,Debrzno,I,813,,,Debrzno,Witonia
176,Franciszek,Bielanski,Politechnika Krolewska,Ogrodzieniec,IV,3125,,,Ogrodzieniec,Suraz
177,Adam,Konopka,Uniwersytet Krolewski,Rybnik,V,1489,,,Rybnik,Karniewo
178,Monika,Lawrynowicz,Uniwersytet Krolewski,Nowy Targ,I,2835,,,Nowy Targ,Krzeszowice
179,Kacper,Fastnacht,Politechnika Informatyczno-Elektroniczna,Swietochlowice,I,998,,,Swietochlowice,Aleksandrow Kujawski
180,Roman,Persinski,Politechnika Informatyczno-Elektroniczna,Gliwice,II,1431,,,Gliwice,Bialaszewo
181,Piotr,Kuter,Uniwersytet Krolewski,Sosnowiec,I,738,,,Sosnowiec,Wloclawek
182,Wojciech,Kujdowicz,Uniwersytet Krolewski,Legnica,V,2637,,,Legnica,Szczecin
183,Angelika,Merak,Politechnika Krolewska,Zywiec,II,415,,,Zywiec,Skierniewice
184,Anna,Owsianka,Politechnika Informatyczno-Elektroniczna,Lwowek Slaski,III,429,,,Lwowek Slaski,Krzyz Wielkopolski
185,Walery,Szurkowski,Uniwersytet Pedagogiczny,Brzeg Dolny,IV,352,,,Brzeg Dolny,Kobylin-Borzymy
186,Karol,Kopycki,Uniwersytet Krolewski,Chorzow,I,794,,,Chorzow,Pila
187,Franciszek,Szombierski,Akademia Sztuk Pieknych,Wolbrom,III,698,,,Wolbrom,Zielona Gora
188,Ewelia,Michaliska,Politechnika Informatyczno-Elektroniczna,Zakopane,I,2309,,,Zakopane,Wagrowiec
189,Kacper,Slawinski,Uniwersytet Rolniczy,Kedzierzyn-Kozle,III,1901,,,Kedzierzyn-Kozle,Julianka
190,Ewelina,Hassan,Uniwersytet Krolewski,Kleszczow,V,2767,,,Kleszczow,Jezewo
191,Arkadiusz,Godowski,Uniwersytet Krolewski,Bialystok,II,1845,,,Bialystok,Krasnik
192,Tymon,Czarnecki,Politechnika Krolewska,Miedzyrzecze,II,2025,,,Miedzyrzecze,Jelenia Gora
193,Alina,Batorek,Uniwersytet Rolniczy,Pszczyna,I,1309,,,Pszczyna,Krosno
194,Michal,Prazuch,Politechnika Informatyczno-Elektroniczna,Kielce,V,2534,,,Kielce,Wejherowo
195,Czeslaw,Kos,Uniwersytet Sportu i Turystyki,Ogrodzieniec,I,1980,,,Ogrodzieniec,Wlodowice
196,Jan,Sikorski,Politechnika Informatyczno-Elektroniczna,Sosnicowice,I,2217,,,Sosnicowice,Medyka
197,Teresa,Polaska,Politechnika Informatyczno-Elektroniczna,Warszawa,II,2771,,,Warszawa,Dobre Miasto
198,Damian,Kulesza,Uniwersytet Krolewski,Rabka,I,2883,,,Rabka,Olszyna
199,Robert,Chochol,Uniwersytet Krolewski,Kleszczow,II,1680,,,Kleszczow,Jozefow
200,Anna,ocon,Politechnika Krolewska,Myszkow,III,3019,,,Myszkow,Mordy
201,Maria,Wolczynska,Uniwersytet Krolewski,Strzelce Opolskie,I,1862,,,Strzelce Opolskie,Kudowa-Slone
202,Piotr,Bros,Uniwersytet Krolewski,Mikolow,V,2849,,,Mikolow,Kalisz
203,Arkadiusz,Bracki,Uniwersytet Ekonomiczny,Kedzierzyn-Kozle,V,2665,,,Kedzierzyn-Kozle,Gieblo
204,Krzysztof,Checinski,Politechnika Krolewska,Bydgoszcz,I,2484,,,Bydgoszcz,Torun
205,Wiktor,Gorecki,Politechnika Krolewska,Pyrzowice,II,3274,,,Pyrzowice,Bielsk Podlaski
206,Malgorzata,Stojecka,Akademia Sztuk Pieknych,Bedzin,I,2932,,,Bedzin,Dobieszowice
207,Karolina,Anuszewska,Politechnika Krolewska,Wolbrom,I,1973,,,Wolbrom,Trzebinia
208,Janusz,Chmielowski,Uniwersytet Sportu i Turystyki,Rybnik,I,2349,,,Rybnik,Skorogoszcz
209,Zofia,Bujak,Uniwersytet Rolniczy,Ogrodzieniec,II,2484,,,Ogrodzieniec,Barwinek
210,Marek,Lichwa,Politechnika Informatyczno-Elektroniczna,Hrebenne,V,2321,,,Hrebenne,Malbork
211,Bozena,Symanska,Uniwersytet Sportu i Turystyki,Zawiercie,III,873,,,Zawiercie,Barlinek
212,Zofia,Cedrowska,Uniwersytet Krolewski,Jedrzejow,II,805,,,Jedrzejow,Sieradz
213,Beata,Kowalczyk,Politechnika Informatyczno-Elektroniczna,Bedzin,V,2191,,,Bedzin,Kobylin
214,Bartlomiej,Stec,Uniwersytet Krolewski,Bielsko - Biala,I,1453,,,Bielsko - Biala,Inowroclaw
215,Katarzyna,Schmidt,Politechnika Informatyczno-Elektroniczna,Myslowice,IV,2151,,,Myslowice,Opole
216,Stefania,Stolowska,Politechnika Krolewska,Koscian,II,2867,,,Koscian,Walce
217,Adam,Rabka,Uniwersytet Krolewski,Radom,I,510,,,Radom,Gubin
218,Maciej,Mijak,Uniwersytet Rolniczy,Katowice,V,2408,,,Katowice,Miedzyrzecz
219,Piotr,Swiezy,Uniwersytet Krolewski,Myslowice,II,558,,,Myslowice,Daszyna
220,Adrianna,Gorska,Politechnika Informatyczno-Elektroniczna,Chelm,IV,719,,,Chelm,Sobotka
221,Beata,Mikolajczyk,Uniwersytet Muzyczny,Otmuchow,I,2862,,,Otmuchow,Lodz
222,Maciej,Buzek,Uniwersytet Krolewski,Kuznica Bialostocka,V,1311,,,Kuznica Bialostocka,
223,Katarzyna,Sokolowska,Uniwersytet Krolewski,Zakopane,III,2656,,,Zakopane,
224,Jerzy,Kielski,Uniwersytet Krolewski,Zory,I,1258,,,Zory,
225,Roman,Dusza,Politechnika Krolewska,Chorzow,V,838,,,Chorzow,
226,Agnieszka,Korandy,Uniwersytet Ekonomiczny,Tarnobrzeg,I,3222,,,Tarnobrzeg,
227,Joanna,Dymna,Uniwersytet Sportu i Turystyki,Chorzow,I,2137,,,Chorzow,
228,Urszula,Legnicka,Politechnika Informatyczno-Elektroniczna,Sopot,II,468,,,Sopot,
229,Krystyna,Sekocinska,Uniwersytet Krolewski,Terespol,I,979,,,Terespol,
230,Aureliusz,Dabrowski ,Politechnika Informatyczno-Elektroniczna,Tarnobrzeg,II,2910,,,Tarnobrzeg,
231,Jerzy,Bargiel,Politechnika Informatyczno-Elektroniczna,Rajcza,I,898,,,Rajcza,
232,Tomasz,Broniarz,Politechnika Informatyczno-Elektroniczna,Sopot,III,1123,,,Sopot,
233,Lucyna,Sokolowska,Uniwersytet Krolewski,Kepice,I,2980,,,Kepice,
234,Luiza,Pawlak,Politechnika Krolewska,Zory,II,1904,,,Zory,
235,Weronika,Stroka,Politechnika Krolewska,Ruda Slaska,II,2180,,,Ruda Slaska,
236,Walenty,Kaczor,Uniwersytet Sportu i Turystyki,Wisla,II,520,,,Wisla,
237,Szymon,Figurski,Uniwersytet Krolewski,Tworog,II,1496,,,Tworog,
238,Jadwiga,Grobelny,Politechnika Krolewska,Zory,III,2635,,,Zory,
239,Piotr,Nowicki,Politechnika Informatyczno-Elektroniczna,Glucholazy,IV,1121,,,Glucholazy,
240,Franciszek,Bebenek,Uniwersytet Krolewski,Tworog,I,2572,,,Tworog,
241,Anna,Trzebnicka,Akademia Sztuk Pieknych,Olkusz,I,1151,,,Olkusz,
242,Adam,Witczak,Uniwersytet Krolewski,Bedzin,III,735,,,Bedzin,
243,Natalia,Chlopecka,Politechnika Krolewska,Piwniczna-Zdroj,I,2101,,,Piwniczna-Zdroj,
244,Jacek,Andrzejewski,Uniwersytet Krolewski,Ruda Slaska,III,2241,,,Ruda Slaska,
245,Agnieszka,Malbolrska,Politechnika Krolewska,Chyzne,I,2814,,,Chyzne,
246,Karolina,Rosiak,Uniwersytet Krolewski,Gliwice,I,1417,,,Gliwice,
247,Aneta,Klucha,Uniwersytet Krolewski,Dabrowa Gornicza,I,1165,,,Dabrowa Gornicza,
248,Bartosz,Adamiec,Politechnika Krolewska,Koniakow,I,2668,,,Koniakow,
249,Piotr,Garncarz,Uniwersytet Krolewski,Brzeg Dolny,III,863,,,Brzeg Dolny,
